Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,values_0,values_1,values_2,values_3
1710963011.0289721,88724,1710963011,28430818,crazy08/base_link,45530.0,37976.0,44432.0,41170.0
1710963011.037543,88725,1710963011,37018560,crazy08/base_link,47212.0,37368.0,42750.0,41778.0
1710963011.0488946,88726,1710963011,48367973,crazy08/base_link,47322.0,37378.0,42832.0,41576.0
1710963011.0576477,88727,1710963011,56966691,crazy08/base_link,46892.0,38036.0,43028.0,41152.0
1710963011.0688078,88728,1710963011,68283367,crazy08/base_link,48155.0,36783.0,41641.0,42529.0
1710963011.0778062,88729,1710963011,77244710,crazy08/base_link,46790.0,37484.0,42498.0,41664.0
1710963011.087667,88730,1710963011,87105436,crazy08/base_link,46281.0,37107.0,42631.0,42417.0
1710963011.0984075,88731,1710963011,97878535,crazy08/base_link,46228.0,37186.0,42938.0,42084.0
1710963011.10913,88732,1710963011,108589160,crazy08/base_link,44543.0,35215.0,44071.0,44607.0
1710963011.1180055,88733,1710963011,117464777,crazy08/base_link,44126.0,36388.0,44660.0,43262.0
1710963011.1279871,88734,1710963011,127443777,crazy08/base_link,44251.0,34373.0,44155.0,45657.0
1710963011.1391675,88735,1710963011,138605622,crazy08/base_link,45462.0,33788.0,43376.0,45810.0
1710963011.1484418,88736,1710963011,147859773,crazy08/base_link,45419.0,33599.0,43359.0,46059.0
1710963011.1591213,88737,1710963011,158620718,crazy08/base_link,46044.0,34062.0,42966.0,45364.0
1710963011.168443,88738,1710963011,167894100,crazy08/base_link,46035.0,34735.0,42649.0,45017.0
1710963011.1787856,88739,1710963011,178263881,crazy08/base_link,45464.0,35420.0,42476.0,42416.0
1710963011.1877723,88740,1710963011,187264165,crazy08/base_link,45056.0,36054.0,42384.0,42282.0
1710963011.1985192,88741,1710963011,197929881,crazy08/base_link,45175.0,37227.0,42529.0,40845.0
1710963011.2091415,88742,1710963011,208621242,crazy08/base_link,45625.0,38575.0,42171.0,39405.0
1710963011.2180476,88743,1710963011,217448580,crazy08/base_link,45403.0,38183.0,42431.0,39759.0
1710963011.239014,88744,1710963011,238529872,crazy08/base_link,45164.0,44128.0,42662.0,33502.0
1710963011.2485697,88745,1710963011,248009511,crazy08/base_link,45222.0,37964.0,42890.0,39380.0
1710963011.2575521,88746,1710963011,256821908,crazy08/base_link,44996.0,35998.0,42878.0,41584.0
1710963011.2676468,88747,1710963011,267147120,crazy08/base_link,45948.0,35176.0,41616.0,42716.0
1710963011.2886274,88748,1710963011,288065814,crazy08/base_link,45776.0,33264.0,40786.0,44610.0
1710963011.2993517,88749,1710963011,298767572,crazy08/base_link,46234.0,33562.0,40736.0,43904.0
1710963011.308124,88750,1710963011,307530402,crazy08/base_link,45780.0,33204.0,41000.0,44452.0
1710963011.3288493,88751,1710963011,328354097,crazy08/base_link,43828.0,34844.0,42816.0,42948.0
1710963011.3377144,88752,1710963011,337093740,crazy08/base_link,43327.0,35723.0,43549.0,41837.0
1710963011.3491075,88753,1710963011,348544089,crazy08/base_link,42508.0,34624.0,43346.0,42838.0
1710963011.3575392,88754,1710963011,356994385,crazy08/base_link,42289.0,35313.0,43781.0,41933.0
1710963011.3687043,88755,1710963011,368191172,crazy08/base_link,42874.0,35268.0,42634.0,42540.0
1710963011.3773189,88756,1710963011,376765951,crazy08/base_link,43031.0,35729.0,42999.0,41557.0
1710963011.3901148,88757,1710963011,389560460,crazy08/base_link,43890.0,36108.0,41858.0,41460.0
1710963011.3985934,88758,1710963011,398122416,crazy08/base_link,45661.0,37033.0,40751.0,40671.0
1710963011.4177122,88759,1710963011,417110895,crazy08/base_link,46442.0,36424.0,40082.0,41168.0
1710963011.4283292,88760,1710963011,427834077,crazy08/base_link,46178.0,35900.0,40598.0,41440.0
1710963011.43962,88761,1710963011,439036465,crazy08/base_link,45000.0,29012.0,41482.0,48198.0
1710963011.4493902,88762,1710963011,448837189,crazy08/base_link,44596.0,33944.0,41622.0,43530.0
1710963011.4584038,88763,1710963011,457804552,crazy08/base_link,44442.0,33672.0,42058.0,43520.0
1710963011.4672189,88764,1710963011,466671209,crazy08/base_link,43231.0,34633.0,42983.0,42845.0
1710963011.4782555,88765,1710963011,477664920,crazy08/base_link,43824.0,35478.0,42558.0,41832.0
1710963011.4890206,88766,1710963011,488480967,crazy08/base_link,42463.0,35671.0,43641.0,41917.0
1710963011.49789,88767,1710963011,497347159,crazy08/base_link,43386.0,37168.0,42728.0,40054.0
1710963011.5083997,88768,1710963011,507909820,crazy08/base_link,44511.0,36751.0,41691.0,40383.0
1710963011.5173807,88769,1710963011,516783311,crazy08/base_link,44274.0,36746.0,41820.0,40496.0
1710963011.52773,88770,1710963011,527219325,crazy08/base_link,44583.0,36629.0,41383.0,40741.0
1710963011.5380557,88771,1710963011,537553303,crazy08/base_link,44672.0,36696.0,41384.0,40584.0
1710963011.5497067,88772,1710963011,549141759,crazy08/base_link,44895.0,36291.0,40741.0,41409.0
1710963011.5584722,88773,1710963011,557937888,crazy08/base_link,45071.0,34207.0,40639.0,43151.0
1710963011.569036,88774,1710963011,568450941,crazy08/base_link,44411.0,34559.0,41001.0,43097.0
1710963011.5777938,88775,1710963011,577221293,crazy08/base_link,43970.0,34686.0,41620.0,42792.0
1710963011.5883973,88776,1710963011,587866024,crazy08/base_link,44448.0,34818.0,40724.0,43078.0
1710963011.597255,88777,1710963011,596767787,crazy08/base_link,42712.0,33980.0,42932.0,43260.0
1710963011.6091697,88778,1710963011,608633845,crazy08/base_link,43940.0,33828.0,41610.0,43506.0
1710963011.6177297,88779,1710963011,617232155,crazy08/base_link,43589.0,34637.0,42077.0,42581.0
1710963011.628644,88780,1710963011,628149715,crazy08/base_link,43491.0,36833.0,42123.0,40437.0
1710963011.6471674,88781,1710963011,646646152,crazy08/base_link,44233.0,38141.0,41721.0,38693.0
